t,segment_id,meal_slug,sure,ayet,class,cond,A0_ABL_score,T0_DAT_score,B_abl,T_teleo,Pi,D_c
2,aparliyan_s007_a096,aparliyan,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,aparliyan_s007_a096,aparliyan,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,aparliyan_s007_a096,aparliyan,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,aparliyan_s007_a096,aparliyan,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,bahaeddinsaglam_s002_a010,bahaeddinsaglam,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,bahaeddinsaglam_s002_a010,bahaeddinsaglam,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,bahaeddinsaglam_s002_a010,bahaeddinsaglam,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,bahaeddinsaglam_s002_a010,bahaeddinsaglam,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,bahaeddinsaglam_s002_a010,bahaeddinsaglam,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,bahaeddinsaglam_s002_a010,bahaeddinsaglam,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,bahaeddinsaglam_s008_a053,bahaeddinsaglam,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,bahaeddinsaglam_s008_a053,bahaeddinsaglam,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,bahaeddinsaglam_s008_a053,bahaeddinsaglam,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,bahaeddinsaglam_s008_a053,bahaeddinsaglam,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,bahaeddinsaglam_s008_a053,bahaeddinsaglam,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,bahaeddinsaglam_s008_a053,bahaeddinsaglam,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,bahaeddinsaglam_s007_a096,bahaeddinsaglam,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,bahaeddinsaglam_s007_a096,bahaeddinsaglam,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,bahaeddinsaglam_s007_a096,bahaeddinsaglam,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,bahaeddinsaglam_s007_a096,bahaeddinsaglam,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,bahaeddinsaglam_s007_a096,bahaeddinsaglam,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,bahaeddinsaglam_s007_a096,bahaeddinsaglam,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,baltacioglu_s002_a010,baltacioglu,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,baltacioglu_s002_a010,baltacioglu,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,baltacioglu_s002_a010,baltacioglu,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,baltacioglu_s002_a010,baltacioglu,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,baltacioglu_s002_a010,baltacioglu,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,baltacioglu_s002_a010,baltacioglu,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,baltacioglu_s008_a053,baltacioglu,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,baltacioglu_s008_a053,baltacioglu,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,baltacioglu_s008_a053,baltacioglu,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,baltacioglu_s008_a053,baltacioglu,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,baltacioglu_s008_a053,baltacioglu,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,baltacioglu_s008_a053,baltacioglu,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,baltacioglu_s007_a096,baltacioglu,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
1,baltacioglu_s007_a096,baltacioglu,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
2,baltacioglu_s007_a096,baltacioglu,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
3,baltacioglu_s007_a096,baltacioglu,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
4,baltacioglu_s007_a096,baltacioglu,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
5,baltacioglu_s007_a096,baltacioglu,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
0,bayraktar_s002_a010,bayraktar,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,bayraktar_s002_a010,bayraktar,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,bayraktar_s002_a010,bayraktar,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,bayraktar_s002_a010,bayraktar,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,bayraktar_s002_a010,bayraktar,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,bayraktar_s002_a010,bayraktar,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,bayraktar_s008_a053,bayraktar,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,bayraktar_s008_a053,bayraktar,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,bayraktar_s008_a053,bayraktar,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,bayraktar_s008_a053,bayraktar,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,bayraktar_s008_a053,bayraktar,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,bayraktar_s008_a053,bayraktar,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,bayraktar_s007_a096,bayraktar,7,96,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,bayraktar_s007_a096,bayraktar,7,96,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
