segment_id,meal_slug,sure,ayet,class,cond_sart_flag,A0_ABL_score,T0_DAT_score,Pi0_static,D0_static,steps,B_final,T_final,Pi_final,D_final
hbasricantay_s007_a096,hbasricantay,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
hbasricantay_s030_a041,hbasricantay,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ihsanaktas_s002_a010,ihsanaktas,2,10,conditional_only,1,0.000000,0.000000,-1.500000,0,12,0.000000,0.000000,-1.500000,0
ihsanaktas_s016_a112,ihsanaktas,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ihsanaktas_s008_a053,ihsanaktas,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ihsanaktas_s007_a096,ihsanaktas,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
ihsanaktas_s030_a041,ihsanaktas,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ilyasyorulmaz_s002_a010,ilyasyorulmaz,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ilyasyorulmaz_s016_a112,ilyasyorulmaz,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ilyasyorulmaz_s008_a053,ilyasyorulmaz,8,53,mixed,0,1.000000,0.700000,0.300000,0,12,2.001436,1.401005,0.600431,0
ilyasyorulmaz_s007_a096,ilyasyorulmaz,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ilyasyorulmaz_s030_a041,ilyasyorulmaz,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
islamoglu_s002_a010,islamoglu,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
islamoglu_s016_a112,islamoglu,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
islamoglu_s008_a053,islamoglu,8,53,conditional_only,1,0.000000,0.000000,-1.500000,0,12,0.000000,0.000000,-1.500000,0
islamoglu_s007_a096,islamoglu,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
islamoglu_s030_a041,islamoglu,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ismailhakkiizmirli_s002_a010,ismailhakkiizmirli,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ismailhakkiizmirli_s016_a112,ismailhakkiizmirli,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ismailhakkiizmirli_s008_a053,ismailhakkiizmirli,8,53,teleological_surface,0,0.000000,0.700000,-0.700000,0,12,0.000000,1.401005,-1.401005,0
ismailhakkiizmirli_s007_a096,ismailhakkiizmirli,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
ismailhakkiizmirli_s030_a041,ismailhakkiizmirli,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ismailyakit_s002_a010,ismailyakit,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ismailyakit_s016_a112,ismailyakit,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ismailyakit_s008_a053,ismailyakit,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
ismailyakit_s007_a096,ismailyakit,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
ismailyakit_s030_a041,ismailyakit,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
kadricelik_s002_a010,kadricelik,2,10,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
